,package,fileName,type,desc,priority,start,end,label,code,lineNum,statementNum,branchStatementNum,callNum,cycleComplexity,depth
6701,hbase-common-1.6.0,UserProvider,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,STYLE,3,64,64,false,,8,3,1,1,2,4
2424,cassandra-all-2.2.18,LocalSyncTask,BC_UNCONFIRMED_CAST,STYLE,3,92,92,false,MethodDeclaration Modifier private convertToMap StatementExpression Assignment MemberReference delegateMap MethodInvocation createDelegateMap = SwitchStatement MemberReference size SwitchStatementCase Literal 3 StatementExpression MethodInvocation delegateMap MemberReference key3 MemberReference value3 put SwitchStatementCase Literal 2 StatementExpression MethodInvocation delegateMap MemberReference key2 MemberReference value2 put End,8,6,4,0,4,4
363,camel-core-2.22.5,Activator,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,STYLE,3,582,582,true,MethodDeclaration Modifier static public ReferenceType FileStatus listStatus FormalParameter Modifier final ReferenceType FileSystem fs FormalParameter Modifier final ReferenceType Path dir FormalParameter Modifier final ReferenceType PathFilter filter IOException TryStatement StatementExpression Assignment MemberReference status TernaryExpression BinaryOperation == MemberReference filter Literal null MethodInvocation fs MemberReference dir listStatus MethodInvocation fs MemberReference dir MemberReference filter listStatus = CatchClause CatchClauseParameter FileNotFoundException fnfe IfStatement BinaryOperation || BinaryOperation == MemberReference status Literal null BinaryOperation < MemberReference status length Literal 1 BlockStatement ReturnStatement Literal null End,3,1,0,1,1,3
4446,cassandra-all-4.0-beta2,QueryProcessor,VA_FORMAT_STRING_USES_NEWLINE,BAD_PRACTICE,2,442,442,false,,7,5,1,5,2,2
2581,cassandra-all-3.0.22,AbstractTypeVersionComparator,UCF_USELESS_CONTROL_FLOW_NEXT_LINE,STYLE,1,79,79,true,"MethodDeclaration Modifier private static maybeInitJmx LocalVariableDeclaration ReferenceType String VariableDeclarator jmxPort MethodInvocation System Literal ""com.sun.management.jmxremote.port"" getProperty IfStatement BinaryOperation == MemberReference jmxPort Literal null BlockStatement StatementExpression Assignment MemberReference jmxPort MethodInvocation System Literal ""cassandra.jmx.local.port"" getProperty = IfStatement BinaryOperation == MemberReference jmxPort Literal null BlockStatement BlockStatement StatementExpression MethodInvocation System Literal ""java.rmi.server.hostname"" MethodInvocation InetAddress MethodInvocation getHostAddress getLoopbackAddress setProperty TryStatement LocalVariableDeclaration ReferenceType RMIServerSocketFactory VariableDeclarator serverFactory ClassCreator ReferenceType RMIServerSocketFactoryImpl StatementExpression MethodInvocation LocateRegistry MethodInvocation Integer MemberReference jmxPort valueOf Literal null MemberReference serverFactory createRegistry CatchClause CatchClauseParameter IOException e End End",13,10,3,10,4,3
2098,cassandra-all-2.1.21,SSTableReader,FE_FLOATING_POINT_EQUALITY,STYLE,3,692,692,false,MethodDeclaration Modifier public scpFileToLocal FormalParameter ReferenceType String rfile FormalParameter ReferenceType String lfile Exception TryStatement CatchClause CatchClauseParameter Exception e StatementExpression MethodInvocation IOUtils MemberReference fos closeQuietly,7,4,4,4,6,2
3585,cassandra-all-3.11.8,QueryProcessor,VA_FORMAT_STRING_USES_NEWLINE,BAD_PRACTICE,2,454,454,false,,9,6,2,5,3,3
1093,camel-core-2.24.2,FileStateRepository,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,BAD_PRACTICE,2,209,209,true,MethodDeclaration Modifier public perfLogBegin FormalParameter ReferenceType String callerName FormalParameter ReferenceType String method LocalVariableDeclaration BasicType long VariableDeclarator startTime MethodInvocation System currentTimeMillis StatementExpression MethodInvocation startTimes MemberReference method ClassCreator ReferenceType Long MemberReference startTime put,8,4,2,3,3,4
1036,camel-core-2.24.2,DefaultManagementObjectStrategy,BC_UNCONFIRMED_CAST,STYLE,3,301,301,false,MethodDeclaration Modifier private ReferenceType ColumnSlice slicesForKey FormalParameter ReferenceType ByteBuffer key LocalVariableDeclaration ReferenceType Composite VariableDeclarator newStart TernaryExpression BinaryOperation && MethodInvocation MethodInvocation startKey MemberReference key equals MethodInvocation ! firstPartitionColumnStart isEmpty MemberReference firstPartitionColumnStart Literal null LocalVariableDeclaration ReferenceType Composite VariableDeclarator newFinish TernaryExpression BinaryOperation && MethodInvocation MethodInvocation stopKey MemberReference key equals MethodInvocation ! lastPartitionColumnFinish isEmpty MemberReference lastPartitionColumnFinish Literal null ForStatement EnhancedForControl VariableDeclaration ReferenceType ColumnSlice VariableDeclarator slice MemberReference sliceFilter slices BlockStatement IfStatement BinaryOperation != MemberReference newStart Literal null BlockStatement IfStatement MethodInvocation slice MemberReference comparator MemberReference newStart isBefore BlockStatement IfStatement BinaryOperation && MemberReference ! sliceFilter reversed MethodInvocation MemberReference slice Literal false MemberReference cfm sliceIncludesStatics StatementExpression MethodInvocation add End End End AssertStatement BinaryOperation == MemberReference newStart Literal null IfStatement BinaryOperation && BinaryOperation != MemberReference newFinish Literal null MethodInvocation ! slice MemberReference comparator MemberReference newFinish isBefore BlockStatement End End,6,2,1,0,2,3
88,camel-core-2.21.5,ControlBusProducer,REC_CATCH_EXCEPTION,STYLE,3,223,223,false,MethodDeclaration Modifier public ReferenceType Token midpoint FormalParameter ReferenceType Token lToken FormalParameter ReferenceType Token rToken LocalVariableDeclaration ReferenceType BigInteger VariableDeclarator l MethodInvocation BigInteger Cast ReferenceType LongToken MemberReference lToken valueOf,6,2,1,0,2,3
4230,cassandra-all-4.0-beta2,Cql_Parser,SF_SWITCH_NO_DEFAULT,STYLE,2,9865,9870,false,,40,28,15,6,14,8
2793,cassandra-all-3.0.22,CqlParser,SF_SWITCH_NO_DEFAULT,STYLE,2,9967,10030,false,MethodDeclaration Modifier public Annotation Override BasicType byte getIv ReturnStatement MemberReference iv,56,39,16,16,10,6
1281,camel-core-2.25.2,AggregateProcessor,DLS_DEAD_LOCAL_STORE,STYLE,3,450,450,false,MethodDeclaration Modifier final public ReferenceType Attribute getAttributes ReturnStatement MemberReference attributes,11,7,2,3,4,4
